Code,Event Name,Title,Composer,Arranger,Genre,Publisher [Collection],Grade,Specification,Total,Flute,Oboe,Clarinet,Bassoon,Saxophone,Trumpet,Horn,Trombone,Euphonium,Tuba,Percussion
100-1-15192,Band,Chorale and Fugue in F Major,Bach,Daehn,,Daehn Publications,1,(Chorale only),1,1,1,1,1,1,1,1,1,1,1,1
100-1-15193,Band,Bartok Suite,Bartok,Clark,,"Belwin, Inc",1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15194,Band,Allegretto (from Symphony No. 7),Beethoven,Court,,Curnow Music,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15198,Band,Theme and Variations,Broege,,,Manhattan Beach Music,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15200,Band,La Volta,Byrd,Fenske,,Daehn Publications,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15202,Band,Danse Pavane,Cacavas,,,"Bourne, Co.",1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15203,Band,Canadian Sketches,Curnow,,,Curnow Music,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15204,Band,Irish Legends,Curnow,,,"Hal Leonard Music, Inc.",1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15205,Band,Korean Folk Rhapsody,Curnow,,,"Hal Leonard Music, Inc.",1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15208,Band,Nottingham Castle,Daehn,,,Daehn Publications,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15209,Band,English Folk Suite,Del Borgo,,,"Hal Leonard Music, Inc.",1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15211,Band,A Flemish Carol,Anon. or Trad.,Del Borgo,,"Kendor Music, Inc.",1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15212,Band,Renaissance Couplet,Jaquet,Del Borgo,,"Kendor Music, Inc.",1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15213,Band,Orlando Suite,DiLasso,DeHaan,,De Haske Publications,1,(play mvt 2 plus one other mvt),2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
100-1-15214,Band,Early English Suite,Duncombe,Finlayson,,"Boosey & Hawkes, Inc.",1,"(play mvts 1 & 4, plus one other mvt)",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
100-1-15215,Band,Amazing Grace,Edmondson,,,Queenwood Publications,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15216,Band,Three English Folk Songs,Edmondson,,,C.L. Barnhouse Company,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15217,Band,Three Scottish Folk Songs,Edmondson,,,C.L. Barnhouse Company,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15221,Band,Cantabile,Finlayson,,,"Boosey & Hawkes, Inc.",1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
100-1-15222,Band,Prelude and March,Frackenpohl,,,Shawnee Press,1,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
